bioId,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,deathDate,avg_weight
abrahta01w,C,0,0,74.0,190,George Washington,,1975-09-27,0000-00-00,196.98
abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,0000-00-00,174.02
adairje01w,C,0,0,76.0,197,George Washington,,1986-12-19,0000-00-00,196.98
adamsda01w,F-C,0,0,73.0,239,Texas A&M,Jefferson College (JC),1989-02-19,0000-00-00,184.8
adamsjo01w,C,0,0,75.0,180,New Mexico,,1981-05-24,0000-00-00,196.98
aguilel01w,G,0,0,67.0,165,George Washington,,1976-10-15,0000-00-00,148.05
ajavoma01w,G,0,0,68.0,160,Rutgers,,1986-05-07,0000-00-00,148.05
alberma01w,G,0,0,64.0,148.05,Ohio State,,1975-04-12,0000-00-00,148.05
aldrima01w,G,0,0,71.0,153,UNC Charlotte,,1973-09-15,0000-00-00,148.05
alexaer01w,G,0,0,67.0,140,California-Santa Barbara,,1975-04-25,0000-00-00,148.05
alhalta01w,F-G,0,0,72.0,149,DePaul,,1974-10-17,0000-00-00,159.91
allench01w,G,0,0,71.0,135,Notre Dame,,1986-07-23,0000-00-00,148.05
amachma01w,F,0,0,73.0,175,,,1978-01-30,0000-00-00,174.02
ambermo01w,F,0,0,76.0,169,Arizona State,,1970-12-21,0000-00-00,174.02
anderam01w,F,0,0,72.0,167,Brigham Young,,1984-03-14,0000-00-00,174.02
anderch01w,C,0,0,78.0,190,Vanderbilt,,1981-01-22,0000-00-00,196.98
anderjo01w,G,0,0,68.0,166,Wisconsin,,1986-07-22,0000-00-00,148.05
anderke01w,G,0,0,67.0,125,Wisconsin,,1974-05-17,0000-00-00,148.05
andrame01w,F,0,0,71.0,165,Old Dominion,,1975-12-31,0000-00-00,174.02
angelyv01w,G,0,0,68.0,160,Ohio State,,1963-10-14,0000-00-00,148.05
anosini01w,C,0,0,75.0,211,Tennessee,,1986-02-27,0000-00-00,196.98
appelja01w,C,0,0,76.0,210,Stanford,,1988-05-14,0000-00-00,196.98
arcaija01w,G,0,0,71.0,147,none,,1969-04-11,0000-00-00,148.05
artiska01w,F,0,0,73.0,155,Northeastern,,1973-07-09,0000-00-00,174.02
askamma01w,C,0,0,77.0,198,none,,1970-08-07,0000-00-00,196.98
atkinla01w,G-F,0,0,72.0,172,North Carolina,,1984-03-22,0000-00-00,163.76
atunrmo01w,G-F,0,0,70.0,143,Texas A&M,,1986-04-14,0000-00-00,163.76
augusse01w,F,0,0,72.0,179,Louisiana State,,1984-04-30,0000-00-00,174.02
aycocan01w,G-F,0,0,74.0,172,Kansas,,1973-02-28,0000-00-00,163.76
ayimmi01w,F,0,0,75.0,174.02,Pepperdine,,1988-05-06,0000-00-00,174.02
azizle01w,F,0,0,75.0,177,Syracuse,,1979-02-28,0000-00-00,174.02
azzije01w,G,0,0,68.0,143,Stanford,,1968-08-31,0000-00-00,148.05
badertr01w,G,0,0,64.0,125,Boise State,,1973-02-26,0000-00-00,148.05
bakerla01w,G,0,0,67.0,140,California,,1968-12-18,0000-00-00,148.05
bakersh01w,G,0,0,68.0,125,Georgia,,1982-12-03,0000-00-00,148.05
balesal01w,C,0,0,79.0,218,Duke,,1985-04-04,0000-00-00,196.98
banchrh01w,C,0,0,75.0,185,Washington,,1973-05-01,0000-00-00,196.98
baranel01w,F,0,0,77.0,182,Academy of Sport Moscow,,1972-01-28,0000-00-00,174.02
barksla01w,G,0,0,70.0,156,North Carolina,,1979-10-03,0000-00-00,148.05
barnead01w,F,0,0,71.0,165,Arizona,,1977-02-03,0000-00-00,174.02
barnequ01w,C,0,0,77.0,185,Indiana,,1976-09-26,0000-00-00,196.98
bassmi01w,F,0,0,75.0,184,Duke,,1983-12-02,0000-00-00,174.02
batkosu01w,C,0,0,76.0,203,,,1980-12-17,0000-00-00,196.98
batteja01w,F,0,0,73.0,163,Notre Dame,,1983-03-26,0000-00-00,174.02
battlas01w,F,0,0,72.0,170,Connecticut,,1982-05-31,0000-00-00,174.02
bauerca01w,F-C,0,0,76.0,180,Montana State,,1972-06-27,0000-00-00,184.8
beardal01w,G-F,0,0,71.0,160,Duke,,1982-05-14,0000-00-00,163.76
becenry01w,G,0,0,66.0,140,Arizona State,Scottsdale CC (JC),1971-08-11,0000-00-00,148.05
beckki01w,G,0,0,68.0,125,George Washington,,1985-12-27,0000-00-00,148.05
bellje01w,F,0,0,73.0,160,Florida International,,1970-05-26,0000-00-00,174.02
bennije01w,F,0,0,75.0,185,Vanderbilt,,1981-10-06,0000-00-00,174.02
berezva01w,C,0,0,76.0,196.98,Rice,,1986-04-10,0000-00-00,196.98
berggas01w,G,0,0,70.0,170,Illinois,,1976-11-18,0000-00-00,148.05
berrysh01w,F-C,0,0,75.0,175,Iowa,,1967-07-06,0000-00-00,184.8
berthlu01w,F-C,0,0,74.0,188,Old Dominion,,1978-03-31,0000-00-00,184.8
berubca01w,F,0,0,72.0,155,Connecticut,,1975-09-02,0000-00-00,174.02
beviltu01w,G,0,0,67.0,145,,,1972-07-19,0000-00-00,148.05
bibbyje01w,G,0,0,67.0,139,,,1979-08-23,0000-00-00,148.05
bibrzag01w,G-F,0,0,74.0,168,,,1982-10-21,0000-00-00,163.76
