,playerID,award_points,year,tmID
2,lennobe01w,3,2,MIN
4,phillta01w,2,2,NYL
6,thompti01w,2,2,HOU
7,arcaija01w,2,3,HOU
8,blackde01w,4,3,MIA
12,lennobe01w,3,3,MIA
13,lennobe01w,3,3,MIN
14,leslili01w,11,3,LAS
16,phillta01w,2,3,NYL
17,stileja01w,3,3,POR
18,swoopsh01w,9,3,HOU
19,thompti01w,2,3,HOU
20,wickssu01w,1,3,NYL
21,arcaija01w,2,4,HOU
22,blackde01w,4,4,CON
23,catchta01w,3,4,IND
24,coopecy01w,4,4,HOU
26,gilloje01w,1,4,LAS
28,lennobe01w,3,4,CLE
29,leslili01w,17,4,LAS
31,milleco01w,2,4,WAS
32,phillta01w,2,4,NYL
35,swoopsh01w,18,4,HOU
36,thompti01w,2,4,HOU
39,blackde01w,4,5,CON
40,campbed01w,1,5,SAC
41,catchta01w,3,5,IND
44,fordch01w,3,5,DET
47,jacksla01w,5,5,SEA
49,lennobe01w,3,5,SEA
50,leslili01w,17,5,LAS
52,milleco01w,2,5,WAS
53,phillta01w,2,5,NYL
54,rileyru01w,4,5,DET
55,snowmi01w,2,5,HOU
58,swoopsh01w,22,5,HOU
59,teaslni01w,2,5,LAS
60,thompti01w,2,5,HOU
62,arcaija01w,2,6,HOU
64,campbed01w,1,6,SAS
65,catchta01w,3,6,IND
69,fordch01w,3,6,DET
72,jacksla01w,5,6,SEA
74,lennobe01w,7,6,SEA
75,leslili01w,26,6,LAS
77,milleco01w,2,6,WAS
78,milleke01w,2,6,IND
79,palmewe01w,2,6,SAS
80,phillta01w,2,6,HOU
81,rileyru01w,4,6,DET
82,snowmi01w,2,6,HOU
85,swoopsh01w,22,6,HOU
86,tauradi01w,3,6,PHO
87,teaslni01w,2,6,LAS
88,thompti01w,2,6,HOU
93,catchta01w,7,7,IND
97,fordch01w,3,7,DET
99,griffyo01w,4,7,SAC
101,jacksla01w,5,7,SEA
102,johnste01w,3,7,LAS
104,lennobe01w,7,7,SEA
105,leslili01w,26,7,LAS
107,mcwilta01w,1,7,CON
108,milleco01w,2,7,WAS
109,milleke01w,2,7,PHO
110,palmewe01w,2,7,SEA
111,phillta01w,2,7,HOU
112,rileyru01w,4,7,DET
113,snowmi01w,2,7,HOU
116,swoopsh01w,29,7,HOU
117,tauradi01w,3,7,PHO
118,teaslni01w,2,7,WAS
119,thompti01w,2,7,HOU
123,augusse01w,3,8,MIN
124,birdsu01w,1,8,SEA
128,catchta01w,12,8,IND
131,douglka01w,2,8,CON
133,fordch01w,3,8,DET
135,griffyo01w,5,8,SAC
136,holdsch01w,1,8,LAS
138,jacksla01w,6,8,SEA
139,johnste01w,3,8,LAS
141,lennobe01w,7,8,SEA
144,mcwilta01w,1,8,LAS
145,milleco01w,2,8,WAS
146,milleke01w,2,8,PHO
147,nolande01w,4,8,DET
148,palmewe01w,2,8,SEA
149,penicti01w,1,8,SAC
150,phillta01w,2,8,HOU
151,rileyru01w,4,8,SAS
152,smithka01w,1,8,DET
153,snowmi01w,2,8,HOU
157,swoopsh01w,30,8,HOU
158,tauradi01w,4,8,PHO
159,teaslni01w,2,8,WAS
161,thompti01w,3,8,HOU
166,augusse01w,3,9,MIN
167,beviltu01w,1,9,IND
168,birdsu01w,1,9,SEA
172,catchta01w,12,9,IND
175,douglka01w,2,9,IND
177,fordch01w,5,9,DET
179,griffyo01w,5,9,SEA
182,jacksla01w,15,9,SEA
183,johnste01w,3,9,LAS
185,lennobe01w,7,9,ATL
186,leslili01w,32,9,LAS
187,mccarja01w,2,9,NYL
189,mcwilta01w,1,9,DET
190,mcwilta01w,1,9,WAS
191,milleco01w,2,9,WAS
192,milleke01w,2,9,PHO
193,nolande01w,4,9,DET
195,penicti01w,1,9,SAC
197,pierspl01w,2,9,DET
198,pondeca01w,4,9,PHO
199,pricear01w,3,9,CHI
200,rileyru01w,4,9,SAS
201,smithka01w,1,9,DET
202,snowmi01w,2,9,HOU
206,swoopsh01w,30,9,SEA
207,tauradi01w,4,9,PHO
210,thompti01w,3,9,HOU
215,augusse01w,3,10,MIN
216,beviltu01w,1,10,IND
217,birdsu01w,1,10,SEA
221,catchta01w,12,10,IND
224,douglka01w,2,10,IND
226,fordch01w,5,10,DET
228,griffyo01w,5,10,IND
229,hoffmeb01w,2,10,IND
230,holdsch01w,1,10,ATL
232,jacksla01w,15,10,SEA
233,johnste01w,3,10,PHO
234,johnsvi01w,1,10,SAS
236,lennobe01w,7,10,LAS
237,leslili01w,36,10,LAS
238,mccarja01w,2,10,NYL
240,mcwilta01w,1,10,DET
241,milleco01w,2,10,ATL
242,milleke01w,2,10,MIN
243,nolande01w,4,10,DET
245,parkeca01w,8,10,LAS
246,penicti01w,1,10,SAC
248,pierspl01w,2,10,DET
249,pondeca01w,4,10,PHO
250,pricear01w,3,10,ATL
251,pricear01w,3,10,CHI
252,rileyru01w,4,10,SAS
253,smithka01w,5,10,DET
254,snowmi01w,2,10,ATL
259,tauradi01w,4,10,PHO
260,teaslni01w,2,10,ATL
261,teaslni01w,2,10,DET
263,thompti01w,3,10,LAS
267,wiggica01w,2,10,MIN
