tmID,year,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fAttempted,fgMade,ftattempted,ftMade,threeAttempted,threeMade,dq
ATL,9,300,97,5141,1769,250,533,783,367,178,80,378,494,1556,647,377,288,491,187,2
ATL,10,270,156,6076,2170,368,684,1052,424,257,119,436,681,1934,802,654,449,371,117,11
CHA,2,260,122,5729,1959,219,487,706,570,222,66,422,589,1668,686,552,425,511,162,6
CHA,3,307,163,6326,2024,293,586,879,477,212,101,453,551,1762,721,541,424,449,158,4
CHA,4,241,160,5968,2082,269,564,833,472,221,88,357,555,1667,717,600,446,496,202,6
CHA,5,241,149,5214,1660,232,487,719,415,204,103,361,499,1433,592,442,336,400,140,2
CHA,6,368,228,8756,2750,378,804,1182,660,311,149,580,765,2431,1011,763,584,473,144,4
CHA,7,227,145,5161,1610,242,500,742,317,209,92,390,529,1440,581,505,369,227,79,8
CHI,7,315,92,5135,1302,260,456,716,331,187,94,330,638,1234,490,359,238,252,84,4
CHI,8,229,170,5364,1947,294,555,849,429,207,88,354,517,1665,682,691,510,266,73,3
CHI,9,270,134,5834,2122,335,709,1044,511,240,108,397,490,1848,783,672,456,264,100,4
CHI,10,314,171,6838,2406,327,776,1103,541,260,143,473,621,2091,881,763,536,339,108,5
CLE,2,322,130,6281,2084,331,603,934,466,261,93,488,662,1747,776,559,417,346,115,7
CLE,3,228,120,5182,1677,255,552,807,373,230,67,334,429,1469,650,408,304,228,73,1
CLE,4,228,149,5604,2015,276,616,892,386,194,64,394,502,1776,733,548,404,428,145,9
CON,4,288,182,6948,2299,346,674,1020,556,327,104,440,644,1974,826,634,482,515,165,6
CON,5,196,106,4486,1732,245,525,770,311,167,87,271,452,1537,650,406,311,346,121,5
CON,6,280,157,6305,2166,284,692,976,545,272,138,446,548,1912,821,543,394,410,130,1
CON,7,254,168,5845,2345,287,698,985,498,212,119,388,495,1915,873,652,492,314,107,1
CON,8,273,154,5747,2152,278,781,1059,523,213,145,381,477,1792,793,506,414,431,152,0
CON,9,187,120,4387,1832,206,531,737,430,174,45,355,402,1569,686,437,336,370,124,2
CON,10,304,192,6685,2777,332,815,1147,629,226,107,487,644,2360,997,729,559,660,224,3
DET,2,200,150,4820,1786,264,477,741,376,182,57,385,473,1514,668,547,407,164,43,2
DET,3,238,127,5376,1783,274,525,799,392,186,61,406,506,1625,655,504,374,292,99,4
DET,4,314,195,7270,2380,367,771,1138,556,273,177,610,697,2151,859,720,521,495,141,3
DET,5,296,181,6674,2319,374,860,1234,514,248,162,529,621,1903,832,822,577,214,78,3
DET,6,374,274,9267,3229,465,990,1455,756,351,175,668,856,2774,1169,1048,755,401,136,12
DET,7,277,186,6701,2337,374,760,1134,453,228,161,546,709,2141,857,783,532,294,91,13
DET,8,309,170,6741,2566,407,837,1244,620,255,98,523,713,2146,898,850,633,417,137,4
DET,9,370,153,7844,3031,466,1000,1466,571,293,150,576,786,2576,1098,879,670,500,165,8
DET,10,405,193,8927,3426,512,1107,1619,714,379,149,624,896,2839,1229,1016,768,567,200,4
HOU,2,180,94,3552,1139,202,432,634,159,133,55,208,344,883,415,294,237,211,72,2
HOU,3,342,211,7798,2400,335,779,1114,597,361,109,531,612,2191,860,635,498,565,182,4
HOU,4,245,172,6384,2251,283,679,962,508,247,112,431,431,1935,803,640,517,390,128,0
HOU,5,310,109,5943,2158,283,689,972,394,223,137,427,480,1820,775,641,481,364,127,2
HOU,6,294,195,7778,2567,382,844,1226,608,273,108,519,595,2257,944,732,545,354,134,2
HOU,7,279,164,6261,2073,253,636,889,575,228,89,396,558,1720,771,618,466,206,65,6
HOU,8,343,161,7013,2661,343,852,1195,482,287,100,532,698,2232,996,709,525,424,144,8
HOU,9,302,162,6413,2564,353,789,1142,496,259,99,565,650,2192,922,731,570,423,150,3
IND,2,294,140,6219,2060,282,625,907,445,277,92,449,639,1785,733,525,395,555,199,9
IND,3,288,188,6567,2069,252,564,816,518,282,83,488,567,1770,715,579,452,555,187,6
IND,4,294,162,6514,1982,341,693,1034,483,278,114,429,584,1631,683,589,458,440,158,9
IND,5,299,151,6664,2512,367,644,1011,503,271,128,430,657,2083,899,607,480,606,234,5
IND,6,258,153,5696,1968,343,613,956,452,243,111,404,572,1785,710,521,405,407,143,12
IND,7,251,169,6491,2101,272,623,895,490,301,67,441,582,1800,710,617,482,585,199,3
IND,8,307,231,7761,2895,408,871,1279,568,403,145,566,684,2496,1035,874,650,577,175,5
IND,9,284,169,6638,2566,322,764,1086,565,353,134,550,653,2197,915,664,522,639,214,6
IND,10,323,206,7178,2492,424,859,1283,503,342,160,549,804,2114,873,788,587,451,159,8
LAS,2,271,189,6684,2583,343,878,1221,611,286,172,480,756,2084,944,712,558,389,137,16
LAS,3,292,178,6677,2569,366,756,1122,528,263,151,455,665,2203,958,654,490,493,163,9
LAS,4,342,224,8038,3058,382,974,1356,663,306,204,602,825,2547,1112,777,584,668,250,19
LAS,5,242,213,7049,2534,319,844,1163,673,251,176,535,656,2143,912,725,565,429,145,10
LAS,6,290,173,6871,2727,319,871,1190,616,266,154,504,703,2286,992,790,592,390,151,5
LAS,7,244,130,5603,1922,239,617,856,525,212,123,410,587,1698,753,489,340,245,76,8
LAS,8,365,149,7045,2491,423,868,1291,524,294,106,482,733,2215,952,648,509,290,78,6
LAS,9,301,153,5690,2039,316,800,1116,357,182,147,447,648,1956,772,449,360,412,135,6
LAS,10,282,226,7337,3330,416,1060,1476,637,288,234,713,709,2784,1217,899,691,586,205,6
MIA,2,242,164,5586,1628,316,522,838,363,230,60,386,544,1521,593,570,388,207,54,3
MIA,3,295,153,5933,1791,291,561,852,411,262,95,390,566,1663,682,417,312,342,115,3
MIN,2,203,90,3819,1593,153,332,485,283,147,48,307,431,1326,556,404,313,450,168,6
MIN,3,215,113,4604,1708,232,504,736,259,145,83,354,452,1445,542,604,482,449,142,5
MIN,4,260,137,5660,1906,242,536,778,398,221,83,398,542,1757,715,482,319,472,157,6
MIN,5,195,146,4924,1598,198,492,690,501,186,80,421,517,1369,557,404,310,507,174,8
MIN,6,273,91,4987,1830,214,495,709,357,173,125,416,518,1594,643,514,387,442,157,3
MIN,7,205,100,3939,1405,183,424,607,313,143,110,342,420,1254,519,395,283,230,84,3
MIN,8,220,137,4941,1989,178,493,671,414,132,55,375,413,1698,732,496,382,390,143,0
MIN,9,294,174,6297,2464,294,661,955,567,209,87,472,541,2160,900,610,503,449,161,5
MIN,10,256,136,5631,2468,324,678,1002,446,247,141,380,626,1994,884,720,570,382,130,9
NYL,2,270,178,7276,2304,312,702,1014,632,270,106,531,656,1916,837,626,470,469,160,7
NYL,3,253,170,6421,2213,261,651,912,558,275,77,414,605,1872,848,515,356,423,161,5
