tmID,year,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fAttempted,fgMade,ftattempted,ftMade,threeAttempted,threeMade,dq
ATL,9,43.33,16.58,773.0,276.58,36.58,82.5,119.08,57.25,26.25,11.08,60.58,79.42,246.0,104.08,57.08,42.67,70.75,25.75,0.42
ATL,10,50.36,29.64,1035.18,367.45,64.82,119.82,184.64,80.0,41.18,20.64,78.91,111.91,318.36,135.55,108.55,74.45,63.18,21.91,1.09
CHA,2,28.89,13.56,636.56,217.67,24.33,54.11,78.44,63.33,24.67,7.33,46.89,65.44,185.33,76.22,61.33,47.22,56.78,18.0,0.67
CHA,3,48.42,25.0,1032.42,338.42,46.08,90.67,136.75,87.83,36.42,15.92,76.42,98.42,292.33,118.58,96.25,74.42,80.92,26.83,1.0
CHA,4,54.0,34.0,1268.7,419.8,59.8,118.6,178.4,95.8,47.6,18.9,79.9,111.1,350.9,150.3,108.8,82.8,93.6,36.4,1.0
CHA,5,51.3,36.9,1238.9,397.0,56.2,120.0,176.2,95.0,45.3,21.8,78.8,123.6,333.0,141.4,107.9,81.4,88.6,32.8,1.4
CHA,6,55.85,37.23,1323.23,423.08,64.15,125.46,189.62,104.69,48.69,24.46,89.38,121.38,381.15,156.69,111.85,84.62,77.54,25.08,0.92
CHA,7,55.88,37.38,1287.88,406.25,55.62,124.38,180.0,81.75,49.5,26.25,93.0,126.62,366.38,147.88,120.62,89.88,68.5,20.62,1.25
CHI,7,46.08,16.42,779.0,197.17,35.83,64.33,100.17,59.17,28.0,12.75,51.58,88.25,191.83,74.25,50.33,33.75,46.42,14.92,0.58
CHI,8,41.22,27.67,953.33,320.78,51.0,95.33,146.33,69.89,35.11,14.11,61.33,95.22,273.56,114.78,110.67,79.89,38.56,11.33,0.56
CHI,9,45.6,25.5,997.1,359.0,56.3,116.7,173.0,82.2,40.0,19.8,65.6,87.0,314.4,133.5,112.6,78.9,39.9,13.1,0.5
CHI,10,57.0,30.6,1248.6,441.7,59.9,140.2,200.1,106.4,47.5,22.2,84.1,104.3,385.4,162.2,134.9,93.6,68.6,23.7,0.9
CLE,2,24.77,10.0,483.15,160.31,25.46,46.38,71.85,35.85,20.08,7.15,37.54,50.92,134.38,59.69,43.0,32.08,26.62,8.85,0.54
CLE,3,50.56,25.11,1090.22,360.67,57.78,112.11,169.89,80.11,46.89,15.33,77.0,104.33,303.22,138.33,92.0,68.89,46.89,15.11,0.89
CLE,4,41.0,23.8,953.1,337.9,46.6,104.7,151.3,70.5,35.1,10.7,67.6,81.8,300.6,124.0,87.4,65.0,73.2,24.9,0.9
CON,4,53.4,35.3,1305.6,429.8,71.7,135.4,207.1,99.6,67.6,21.1,89.9,125.2,378.1,156.2,118.8,88.7,91.5,28.7,0.9
CON,5,61.5,41.5,1536.17,544.83,78.33,169.83,248.17,107.17,67.0,25.17,89.0,151.33,482.33,204.17,128.0,97.83,112.67,38.67,1.67
CON,6,47.8,31.8,1166.6,425.6,57.7,140.9,198.6,88.7,46.0,33.9,78.3,112.7,372.2,160.0,107.8,79.6,77.8,26.0,0.8
CON,7,51.1,32.5,1201.0,449.2,57.0,138.2,195.2,102.9,47.6,25.7,82.4,102.3,380.1,168.7,119.3,88.4,71.2,23.4,0.2
CON,8,55.22,34.11,1218.89,460.11,56.56,150.22,206.78,108.33,44.44,28.33,80.44,104.56,380.78,170.11,116.33,90.78,82.33,29.11,0.0
CON,9,59.14,30.43,1332.71,536.71,60.86,151.71,212.57,129.14,51.43,12.57,107.29,115.29,452.43,196.71,139.14,111.29,100.57,32.0,0.57
CON,10,48.8,29.2,1100.7,466.2,51.9,131.9,183.8,105.9,40.1,16.2,88.4,103.2,399.0,169.1,122.6,94.7,102.8,33.3,0.7
DET,2,28.57,21.43,688.57,255.14,37.71,68.14,105.86,53.71,26.0,8.14,55.0,67.57,216.29,95.43,78.14,58.14,23.43,6.14,0.29
DET,3,44.5,22.8,958.1,328.7,52.8,99.3,152.1,72.0,33.7,11.9,74.2,96.1,292.8,122.2,97.8,71.2,41.3,13.1,0.6
DET,4,48.36,29.18,1129.82,366.64,57.36,110.27,167.64,80.45,43.55,25.82,90.55,107.27,323.0,132.18,108.27,78.18,76.55,24.09,0.73
DET,5,60.44,35.67,1400.89,477.0,75.22,170.33,245.56,105.44,52.89,35.22,107.56,128.56,408.67,172.0,160.78,114.33,58.56,18.67,0.56
DET,6,56.5,38.21,1349.57,485.79,67.21,147.79,215.0,108.14,50.21,26.07,100.14,124.43,401.14,173.29,158.0,114.14,69.93,25.07,1.29
DET,7,47.18,37.45,1269.0,460.55,69.64,142.82,212.45,95.36,48.64,28.55,96.45,126.36,405.27,166.73,152.73,106.73,61.09,20.36,2.18
DET,8,58.4,36.7,1382.9,500.0,76.6,158.4,235.0,119.9,51.0,22.2,111.9,137.4,427.3,175.7,172.2,123.7,77.1,24.9,1.4
DET,9,54.08,26.92,1215.46,471.62,78.23,165.85,244.08,91.62,44.15,23.38,90.46,122.92,398.69,171.46,141.23,105.15,72.38,23.54,0.92
DET,10,51.47,26.87,1156.87,436.93,61.53,143.6,205.13,96.6,46.53,19.6,86.13,112.8,367.0,157.33,122.93,94.67,78.27,27.6,0.87
HOU,2,25.71,13.43,507.43,162.71,28.86,61.71,90.57,22.71,19.0,7.86,29.71,49.14,126.14,59.29,42.0,33.86,30.14,10.29,0.29
HOU,3,48.69,30.85,1143.15,370.62,49.15,117.38,166.54,85.23,55.77,15.46,75.92,92.46,315.38,133.0,98.08,75.62,85.23,29.0,0.62
HOU,4,53.88,39.38,1394.38,508.38,65.62,144.5,210.12,111.38,53.75,20.38,96.0,98.12,442.38,180.0,142.5,116.88,93.62,31.5,0.12
HOU,5,48.08,24.08,1028.0,367.46,50.0,109.69,159.69,71.77,40.38,20.0,73.85,83.46,317.0,132.08,107.62,80.92,69.08,22.38,0.31
HOU,6,56.0,40.73,1532.27,518.36,75.09,170.82,245.91,121.45,57.64,25.0,105.09,121.45,459.45,192.64,144.09,109.36,68.36,23.73,0.82
HOU,7,47.27,30.27,1162.27,387.91,48.91,118.36,167.27,103.18,42.91,17.0,77.55,103.45,332.18,143.73,116.64,86.09,41.0,14.36,0.82
HOU,8,48.83,22.17,976.67,367.25,48.67,114.5,163.17,69.67,38.92,15.58,70.25,96.75,306.42,138.75,100.58,74.0,47.75,15.75,1.0
HOU,9,56.6,31.2,1219.3,479.2,65.2,143.5,208.7,88.9,48.9,18.2,100.9,128.1,408.5,175.4,128.9,98.5,83.6,29.9,1.0
IND,2,29.4,14.0,621.9,206.0,28.2,62.5,90.7,44.5,27.7,9.2,44.9,63.9,178.5,73.3,52.5,39.5,55.5,19.9,0.9
IND,3,50.0,31.3,1163.6,389.2,43.4,100.9,144.3,90.6,53.5,12.5,86.6,105.6,325.9,134.4,105.5,81.5,112.5,38.9,1.4
IND,4,51.91,29.09,1166.0,335.64,56.64,117.45,174.09,91.27,51.73,18.64,75.91,103.82,286.64,117.91,97.18,73.55,78.45,26.27,1.64
IND,5,51.0,25.0,1095.55,403.73,65.18,119.27,184.45,78.64,45.45,22.82,70.09,107.0,331.36,145.0,103.0,80.27,85.82,33.45,1.0
IND,6,61.12,30.75,1312.5,495.38,81.38,142.5,223.88,99.12,54.75,26.38,91.5,136.38,426.12,177.12,130.38,101.62,106.38,39.5,2.12
IND,7,57.22,32.0,1299.33,432.0,59.44,130.67,190.11,95.78,57.44,16.89,87.11,121.0,365.56,146.33,124.33,97.44,118.11,41.89,0.78
IND,8,52.18,39.27,1364.36,492.45,67.82,144.64,212.45,98.82,68.36,21.64,100.73,124.64,423.82,172.82,152.18,115.0,101.64,31.82,1.27
IND,9,49.07,29.36,1119.57,420.71,53.36,120.86,174.21,91.21,57.93,20.5,89.71,107.86,361.43,149.64,116.36,88.57,101.5,32.86,0.86
IND,10,52.0,33.33,1151.5,426.58,69.25,139.92,209.17,85.17,56.17,26.67,90.42,126.92,355.25,151.67,129.83,97.58,75.33,25.67,0.92
LAS,2,30.11,21.0,742.67,287.0,38.11,97.56,135.67,67.89,31.78,19.11,53.33,84.0,231.56,104.89,79.11,62.0,43.22,15.22,1.78
LAS,3,55.64,34.45,1298.82,503.55,71.45,158.64,230.09,97.64,52.18,30.36,90.91,135.73,424.73,183.82,138.27,105.55,89.55,30.36,2.09
LAS,4,52.54,32.62,1227.31,473.38,62.77,144.69,207.46,95.23,48.38,29.69,89.46,127.31,404.15,174.85,119.15,89.54,95.62,34.15,2.38
LAS,5,57.88,53.38,1737.0,624.38,74.38,208.88,283.25,169.5,63.38,46.25,134.5,164.75,521.75,225.0,179.12,136.38,108.62,38.0,3.38
LAS,6,40.75,28.83,1076.0,437.83,50.92,139.92,190.83,98.75,39.92,24.75,80.33,104.25,371.33,159.42,122.92,95.33,67.5,23.67,1.0
LAS,7,50.22,27.44,1167.44,430.67,53.56,148.11,201.67,96.89,46.22,31.44,81.44,121.33,374.0,165.22,117.11,84.78,46.56,15.44,1.56
LAS,8,45.92,21.54,958.08,335.77,52.31,114.0,166.31,74.46,36.0,14.15,64.31,98.46,293.31,129.38,86.23,67.62,35.0,9.38,1.0
LAS,9,51.73,31.18,1069.09,400.55,55.36,155.0,210.36,83.73,38.45,31.0,86.64,116.36,352.18,152.09,99.55,75.82,61.09,20.55,1.36
LAS,10,50.22,39.89,1311.11,571.0,69.33,180.89,250.22,117.11,50.33,35.11,126.78,116.44,489.78,204.78,156.11,124.56,111.0,36.89,0.89
MIA,2,30.25,20.5,698.25,203.5,39.5,65.25,104.75,45.38,28.75,7.5,48.25,68.0,190.12,74.12,71.25,48.5,25.88,6.75,0.38
MIA,3,47.45,30.0,1046.27,336.91,55.55,103.82,159.36,73.18,45.27,13.82,71.91,101.09,305.27,124.18,85.55,63.55,75.82,25.0,0.82
MIN,2,29.0,12.86,545.57,227.57,21.86,47.43,69.29,40.43,21.0,6.86,43.86,61.57,189.43,79.43,57.71,44.71,64.29,24.0,0.86
