year,tmID,confID,attend,playoff
9,ATL,EA,141379,N
10,ATL,EA,120737,Y
1,CHA,EA,90963,N
2,CHA,EA,105525,Y
3,CHA,EA,106670,Y
4,CHA,EA,120061,Y
5,CHA,EA,116383,N
6,CHA,EA,98054,N
7,CHA,EA,106942,N
7,CHI,EA,57635,N
8,CHI,EA,66557,N
9,CHI,EA,62146,N
10,CHI,EA,66852,N
1,CLE,EA,137532,Y
2,CLE,EA,147373,Y
3,CLE,EA,149084,N
4,CLE,EA,125793,Y
4,CON,EA,102433,Y
5,CON,EA,114017,Y
6,CON,EA,121944,Y
7,CON,EA,126096,Y
8,CON,EA,135490,Y
9,CON,EA,129951,Y
10,CON,EA,115496,N
1,DET,EA,107289,N
2,DET,EA,109348,N
3,DET,EA,94171,N
4,DET,EA,133647,Y
5,DET,EA,160860,Y
6,DET,EA,159356,Y
7,DET,EA,159453,Y
8,DET,EA,165738,Y
9,DET,EA,162669,Y
10,DET,EA,136069,Y
1,HOU,WE,196077,Y
2,HOU,WE,181115,Y
3,HOU,WE,188648,Y
4,HOU,WE,150203,Y
5,HOU,WE,137455,N
6,HOU,WE,120676,Y
7,HOU,WE,130586,Y
8,HOU,WE,138816,N
9,HOU,WE,111951,N
1,IND,EA,180270,N
2,IND,EA,138922,N
3,IND,EA,134945,Y
4,IND,EA,141778,N
5,IND,EA,128989,N
6,IND,EA,142494,Y
7,IND,EA,122768,Y
8,IND,EA,133915,Y
9,IND,EA,130941,Y
10,IND,EA,134964,Y
1,LAS,WE,105005,Y
2,LAS,WE,148446,Y
3,LAS,WE,186410,Y
4,LAS,WE,157934,Y
5,LAS,WE,177269,Y
6,LAS,WE,150521,Y
7,LAS,WE,141282,Y
8,LAS,WE,147810,N
9,LAS,WE,161639,Y
10,LAS,WE,176587,Y
1,MIA,EA,127721,N
2,MIA,EA,141717,Y
3,MIA,EA,141252,N
1,MIN,WE,116638,N
2,MIN,WE,120607,N
3,MIN,WE,139874,N
4,MIN,WE,120253,Y
5,MIN,WE,125097,Y
6,MIN,WE,113447,N
7,MIN,WE,109522,N
8,MIN,WE,121019,N
9,MIN,WE,118463,N
10,MIN,WE,128127,N
1,NYL,EA,231962,Y
2,NYL,EA,250565,Y
3,NYL,EA,234717,Y
4,NYL,EA,212346,N
5,NYL,EA,168062,Y
6,NYL,EA,172381,Y
7,NYL,EA,155048,N
8,NYL,EA,147866,Y
9,NYL,EA,153772,Y
10,NYL,EA,166604,N
1,ORL,EA,117810,Y
2,ORL,EA,118874,N
3,ORL,EA,113837,N
1,PHO,WE,161075,Y
2,PHO,WE,136979,N
3,PHO,WE,139798,N
4,PHO,WE,144511,N
5,PHO,WE,136295,N
6,PHO,WE,124146,N
7,PHO,WE,126801,N
8,PHO,WE,131524,Y
9,PHO,WE,144867,N
10,PHO,WE,144884,Y
1,POR,WE,133076,N
2,POR,WE,137656,N
3,POR,WE,128656,N
1,SAC,WE,126841,Y
2,SAC,WE,133603,Y
3,SAC,WE,144179,N
4,SAC,WE,155578,Y
5,SAC,WE,147544,Y
6,SAC,WE,145213,Y
7,SAC,WE,147739,Y
8,SAC,WE,142575,Y
9,SAC,WE,139066,Y
10,SAC,WE,131654,N
4,SAS,WE,176526,N
5,SAS,WE,142717,N
6,SAS,WE,135054,N
7,SAS,WE,125749,N
8,SAS,WE,128680,Y
9,SAS,WE,135722,Y
10,SAS,WE,127957,Y
1,SEA,WE,142594,N
2,SEA,WE,95257,N
3,SEA,WE,111774,Y
4,SEA,WE,120857,N
5,SEA,WE,134291,Y
6,SEA,WE,151150,Y
7,SEA,WE,145664,Y
8,SEA,WE,135553,Y
9,SEA,WE,140503,Y
10,SEA,WE,133858,Y
1,UTA,WE,103442,N
2,UTA,WE,110507,Y
3,UTA,WE,118720,Y
1,WAS,EA,244134,Y
2,WAS,EA,246667,N
3,WAS,EA,259237,Y
4,WAS,EA,238710,N
5,WAS,EA,214448,Y
6,WAS,EA,171501,N
7,WAS,EA,133255,Y
8,WAS,EA,133255,N
9,WAS,EA,154637,N
10,WAS,EA,192747,Y
11,ATL,EA,0,0
11,CHI,EA,0,0
11,CON,EA,0,0
11,IND,EA,0,0
11,LAS,WE,0,0
11,MIN,WE,0,0
11,NYL,EA,0,0
11,PHO,WE,0,0
11,SAS,WE,0,0
11,SEA,WE,0,0
11,TUL,WE,0,0
11,WAS,EA,0,0
